"filename", "language", "YAML", "Properties", "JSON", "TypeScript", "JSON with Comments", "Markdown", "HTML", "Vue", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 17, 95
"e:\hc\外包\employee-Profiling\src\views\Login\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 1, 20, 184
"e:\hc\外包\employee-Profiling\src\views\Matching\Matching.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 6, 85
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 13, 344
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"e:\hc\外包\employee-Profiling\src\views\NotAuth\NotAuth.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\NotFound\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\NotServer\NotServer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\OverallPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 73
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 8, 132
"e:\hc\外包\employee-Profiling\src\views\Performance\Performance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 7, 233
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 12, 89
"e:\hc\外包\employee-Profiling\src\views\PositionPortrait\PositionPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 165
"e:\hc\外包\employee-Profiling\src\views\Register\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 1, 15, 182
"e:\hc\外包\employee-Profiling\src\views\TagManage\TagManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 14, 207
"e:\hc\外包\employee-Profiling\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\hc\外包\employee-Profiling\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 4, 36
"e:\hc\外包\employee-Profiling\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\hc\外包\employee-Profiling\vite.config.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 4, 60
"Total", "-", 8286, 5, 89, 1007, 25, 13, 13, 3988, 74, 285, 2216, 117, 1299, 17417
