"filename", "language", "Properties", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "Markdown", "XML", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\vscode-workspace\me\employee-profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1333, 0, 0, 0, 40, 1373
"e:\vscode-workspace\me\employee-profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 68
"e:\vscode-workspace\me\employee-profiling\src\views\Login\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 23, 194
"e:\vscode-workspace\me\employee-profiling\src\views\Matching\Matching.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"e:\vscode-workspace\me\employee-profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 20, 24, 545
"e:\vscode-workspace\me\employee-profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 18, 269
"e:\vscode-workspace\me\employee-profiling\src\views\ModelModification\ModelModification.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 7, 198
"e:\vscode-workspace\me\employee-profiling\src\views\ModelModification\components\DeleteDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 69
"e:\vscode-workspace\me\employee-profiling\src\views\ModelModification\components\createdDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 9, 425
"e:\vscode-workspace\me\employee-profiling\src\views\ModelModification\components\editDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 455, 0, 0, 0, 12, 467
"e:\vscode-workspace\me\employee-profiling\src\views\NotAuth\NotAuth.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"e:\vscode-workspace\me\employee-profiling\src\views\NotFound\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"e:\vscode-workspace\me\employee-profiling\src\views\NotServer\NotServer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
